"ti_a1";"tf_a1";"ti_a2";"tf_a2";"ti_a3";"tf_a3"
"2015-11-03 19:34:43.089-02";"2015-11-03 19:34:44.252-02";"2015-11-03 19:34:55.65-02";"2015-11-03 19:34:56.688-02";"2015-11-03 19:35:08.136-02";"2015-11-03 19:35:09.167-02"
"2015-11-03 19:34:42.959-02";"2015-11-03 19:34:44.252-02";"2015-11-03 19:34:55.709-02";"2015-11-03 19:34:56.733-02";"2015-11-03 19:35:08.209-02";"2015-11-03 19:35:09.227-02"
"2015-11-03 19:36:24.769-02";"2015-11-03 19:36:25.82-02";"2015-11-03 19:36:37.419-02";"2015-11-03 19:36:38.442-02";"2015-11-03 19:36:49.684-02";"2015-11-03 19:36:50.707-02"
"2015-11-03 19:36:24.776-02";"2015-11-03 19:36:25.82-02";"2015-11-03 19:36:37.353-02";"2015-11-03 19:36:38.39-02";"2015-11-03 19:36:49.651-02";"2015-11-03 19:36:50.691-02"
"2015-11-03 19:36:24.702-02";"2015-11-03 19:36:25.891-02";"2015-11-03 19:36:37.353-02";"2015-11-03 19:36:38.39-02";"2015-11-03 19:36:49.664-02";"2015-11-03 19:36:50.69-02"
"2015-11-03 19:36:24.741-02";"2015-11-03 19:36:25.813-02";"2015-11-03 19:36:37.401-02";"2015-11-03 19:36:38.427-02";"2015-11-03 19:36:49.681-02";"2015-11-03 19:36:50.703-02"
"2015-11-03 19:36:24.776-02";"2015-11-03 19:36:25.877-02";"2015-11-03 19:36:37.479-02";"2015-11-03 19:36:38.496-02";"2015-11-03 19:36:49.694-02";"2015-11-03 19:36:50.722-02"
"2015-11-03 19:36:30.937-02";"2015-11-03 19:36:32.056-02";"2015-11-03 19:36:43.454-02";"2015-11-03 19:36:44.473-02";"2015-11-03 19:36:55.76-02";"2015-11-03 19:36:56.78-02"
"2015-11-03 19:36:30.944-02";"2015-11-03 19:36:32.057-02";"2015-11-03 19:36:43.46-02";"2015-11-03 19:36:44.482-02";"2015-11-03 19:36:55.767-02";"2015-11-03 19:36:56.809-02"
"2015-11-03 19:36:30.926-02";"2015-11-03 19:36:32.057-02";"2015-11-03 19:36:43.482-02";"2015-11-03 19:36:44.501-02";"2015-11-03 19:36:55.766-02";"2015-11-03 19:36:56.809-02"
"2016-08-01 11:04:47.473-03";"2016-08-01 11:04:48.584-03";"2016-08-01 11:05:06.027-03";"2016-08-01 11:05:07.058-03";"2016-08-01 11:05:22.426-03";"2016-08-01 11:05:23.553-03"
"2016-08-01 11:04:47.187-03";"2016-08-01 11:04:48.584-03";"2016-08-01 11:05:05.549-03";"2016-08-01 11:05:06.742-03";"2016-08-01 11:05:21.437-03";"2016-08-01 11:05:22.574-03"
"2016-08-01 11:04:47.293-03";"2016-08-01 11:04:48.584-03";"2016-08-01 11:05:05.904-03";"2016-08-01 11:05:06.933-03";"2016-08-01 11:05:21.592-03";"2016-08-01 11:05:22.777-03"
"2016-08-01 11:04:47.416-03";"2016-08-01 11:04:48.584-03";"2016-08-01 11:05:05.978-03";"2016-08-01 11:05:07.025-03";"2016-08-01 11:05:21.872-03";"2016-08-01 11:05:23.312-03"
"2016-08-01 11:04:55.098-03";"2016-08-01 11:04:56.563-03";"2016-08-01 11:05:12.461-03";"2016-08-01 11:05:13.518-03";"2016-08-01 11:05:28.446-03";"2016-08-01 11:05:29.691-03"
"2016-08-01 11:04:55.091-03";"2016-08-01 11:04:56.564-03";"2016-08-01 11:05:12.839-03";"2016-08-01 11:05:13.88-03";"2016-08-01 11:05:28.495-03";"2016-08-01 11:05:29.691-03"
"2016-08-01 11:04:47.14-03";"2016-08-01 11:04:48.584-03";"2016-08-01 11:05:05.188-03";"2016-08-01 11:05:06.319-03";"2016-08-01 11:05:21.238-03";"2016-08-01 11:05:22.43-03"
"2016-08-01 11:04:55.092-03";"2016-08-01 11:04:56.563-03";"2016-08-01 11:05:11.791-03";"2016-08-01 11:05:12.929-03";"2016-08-01 11:05:27.672-03";"2016-08-01 11:05:28.833-03"
